Registreringsnummer;Fordonets status;Fordonskategori;Märke;Handelsbeteckning;Slagvolym;Tillverkningsnummer;Ägare/innehavaren;Filial;Typ av ägande;Besittningsförhållande;Innehavarens namn;Begränsningar;Typ av överlåtelseanmälan;Intervallet för periodisk besiktning början;Intervallet för periodisk besiktning slut;Besiktning aktuell;CO2 Kombinerat;CO2 Viktat, kombinerat;WLTP CO2 kombinerad;WLTP CO2 viktade, blandad;Drivkraft;Fordonets användningsändamål;Ägarskapets startdatum;Försäkringsbolag;Försäkringens startdatum;Datum för första registrering;Ibruktagningsdatum;Utsläppsklass;Elhybrid;Typ av eldrivet hybridfordon
"=""CIL-479""";registrerad/registrerat;N1/Paketbil;Dacia;DUSTER;1461;UU1HSDACN45428765;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Tilläggsskylt. Befrielse från bilskatt;;12.9.2025;14.9.2026;Ja;145;;;;Dieselolja;Privat;19.12.2024;LähiTapiola;20.12.2024;18.8.2011;18.8.2011;Euro 5;Nej;
"=""BRX-455""";registrerad/registrerat;N1/Paketbil;Ford;TRANSIT COURIER;1499;WF0WXXTACWEJ05701;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;22.9.2025;22.9.2026;Ja;103;;;;Dieselolja;Privat;28.3.2022;LähiTapiola;24.5.2024;19.11.2014;19.11.2014;Euro 5;Nej;
"=""VXS-803""";registrerad/registrerat;N1/Paketbil;Ford;TRANSIT COURIER;1560;WF0WXXTACWER27363;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;26.8.2025;26.8.2026;Ja;100;;;;Dieselolja;Privat;1.9.2022;LähiTapiola;24.5.2024;9.1.2015;9.1.2015;;Nej;
"=""ZKM-222""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1560;WF0WXXTACWFK46694;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;20.5.2025;20.5.2026;Ja;100;;;;Dieselolja;Privat;25.5.2021;LähiTapiola;24.5.2024;5.5.2015;5.5.2015;Euro 5;Nej;
"=""SNK-471""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWFY68941;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;13.10.2025;13.10.2026;Ja;103;;;;Dieselolja;Privat;26.3.2021;LähiTapiola;24.5.2024;20.8.2015;20.8.2015;;Nej;
"=""NKB-862""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1560;WF0WXXTACWFP09821;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;16.3.2026;16.3.2027;Ja;100;;;;Dieselolja;Privat;11.5.2016;LähiTapiola;24.5.2024;8.2.2016;8.2.2016;Euro 5;Nej;
"=""MNE-571""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWHC41852;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;30.9.2024;30.9.2026;Ja;99;;;;Dieselolja;Privat;20.11.2020;LähiTapiola;24.5.2024;13.11.2017;13.11.2017;Euro 6;Nej;
"=""ZLV-281""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWHD57489;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;4.9.2024;7.9.2026;Ja;99;;;;Dieselolja;Privat;2.9.2021;LähiTapiola;24.5.2024;1.8.2018;1.8.2018;Euro 6;Nej;
"=""CLJ-338""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWJY87549;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;19.5.2025;19.5.2027;Ja;99;;;;Dieselolja;Privat;7.5.2021;LähiTapiola;24.5.2024;4.5.2018;4.5.2018;Euro 6;Nej;
"=""FNK-154""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWJM19255;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;4.2.2025;4.2.2027;Ja;112;;140;;Dieselolja;Privat;1.3.2022;LähiTapiola;24.5.2024;1.2.2019;1.2.2019;Euro 6;Nej;
"=""KTK-434""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWJB27921;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;30.9.2024;30.9.2026;Ja;112;;140;;Dieselolja;Privat;12.11.2018;LähiTapiola;24.5.2024;12.11.2018;12.11.2018;Euro 6;Nej;
"=""FNV-148""";avställd/avställt;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWKE54826;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;15.7.2025;15.7.2027;Ja;112;;140;;Dieselolja;Privat;11.6.2019;LähiTapiola;24.5.2024;11.6.2019;11.6.2019;Euro 6;Nej;
"=""CNU-762""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWKL63264;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;14.10.2025;14.10.2027;Ja;112;;140;;Dieselolja;Privat;30.5.2022;LähiTapiola;24.5.2024;30.9.2019;30.9.2019;Euro 6;Nej;
"=""GNV-194""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWKT74125;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;14.11.2025;15.11.2027;Ja;112;;140;;Dieselolja;Privat;5.11.2019;LähiTapiola;24.5.2024;5.11.2019;5.11.2019;;Nej;
"=""OXV-397""";registrerad/registrerat;N1/Paketbil;Ford;Transit Courier;1499;WF0WXXTACWLA18497;Budtrans Malax Ab/Oy. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;26.8.2024;26.8.2026;Ja;112;;141;;Dieselolja;Privat;24.7.2020;LähiTapiola;24.5.2024;24.7.2020;24.7.2020;;Nej;
