Registreringsnummer;Fordonets status;Fordonskategori;Märke;Handelsbeteckning;Slagvolym;Tillverkningsnummer;Ägare/innehavaren;Filial;Typ av ägande;Besittningsförhållande;Innehavarens namn;Begränsningar;Typ av överlåtelseanmälan;Intervallet för periodisk besiktning början;Intervallet för periodisk besiktning slut;Besiktning aktuell;CO2 Kombinerat;CO2 Viktat, kombinerat;WLTP CO2 kombinerad;WLTP CO2 viktade, blandad;Drivkraft;Fordonets användningsändamål;Ägarskapets startdatum;Försäkringsbolag;Försäkringens startdatum;Datum för första registrering;Ibruktagningsdatum;Utsläppsklass;Elhybrid;Typ av eldrivet hybridfordon
"=""BOC-704""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX145098;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;25.10.2022;13.11.2023;Ja;179;;;;Dieselolja;Privat;12.1.2024;;;8.12.2010;8.12.2010;;Nej;
"=""BOC-710""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX145422;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;19.11.2025;19.11.2026;Ja;174;;;;Dieselolja;Privat;22.11.2024;LähiTapiola;22.11.2024;14.12.2010;14.12.2010;;Nej;
"=""IJK-274""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX131227;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;28.1.2025;23.2.2026;Ja;174;;;;Dieselolja;Privat;18.8.2023;LähiTapiola;28.8.2023;29.11.2010;29.11.2010;;Nej;
"=""IJK-275""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX131237;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Avställning;;5.12.2025;7.12.2026;Ja;174;;;;Dieselolja;Privat;17.3.2025;LähiTapiola;17.3.2025;29.11.2010;29.11.2010;;Nej;
"=""IJK-277""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX131351;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;28.2.2025;2.3.2026;Ja;174;;;;Dieselolja;Privat;1.3.2025;LähiTapiola;1.3.2025;29.11.2010;29.11.2010;;Nej;
"=""BOB-764""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX139956;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;26.2.2026;5.3.2027;Ja;174;;;;Dieselolja;Privat;24.8.2023;LähiTapiola;28.8.2023;9.12.2010;9.12.2010;;Nej;
"=""BTY-414""";registrerad/registrerat;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZ9X134983;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Periodisk besiktning har inte utförts/godkänts. Återkallelse;;21.3.2024;21.3.2025;Ja;174;;;;Dieselolja;Privat;3.2.2023;LähiTapiola;16.2.2023;10.9.2009;10.9.2009;;Nej;
"=""ECZ-366""";registrerad/registrerat;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZAX009233;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;17.9.2025;22.9.2026;Ja;174;;;;Dieselolja;Privat;5.10.2023;LähiTapiola;10.10.2023;2.10.2009;2.10.2009;;Nej;
"=""AKZ-433""";avställd/avställt;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZAX003470;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;3.10.2023;3.10.2024;Ja;174;;;;Dieselolja;Privat;30.10.2023;LähiTapiola;31.10.2023;29.9.2009;29.9.2009;;Nej;
"=""AKZ-443""";registrerad/registrerat;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZAX004368;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;21.10.2025;21.10.2026;Ja;174;;;;Dieselolja;Privat;23.9.2024;LähiTapiola;24.9.2024;28.9.2009;28.9.2009;Euro 4;Nej;
"=""FJJ-976""";avställd/avställt;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZ9X128223;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;27.4.2022;27.4.2023;Ja;174;;;;Dieselolja;Privat;19.7.2023;;;22.6.2009;22.6.2009;;Nej;
"=""KRJ-368""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1598;WV1ZZZ2KZCX046260;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;24.9.2024;24.9.2025;Ja;149;;;;Dieselolja;Privat;12.1.2024;LähiTapiola;16.1.2024;26.10.2011;26.10.2011;;Nej;
"=""BPX-195""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1598;WV1ZZZ2KZDX011816;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;16.9.2025;16.9.2026;Ja;139;;;;Dieselolja;Privat;20.7.2023;LähiTapiola;2.8.2023;6.8.2012;6.8.2012;;Nej;
"=""IKS-937""";registrerad/registrerat;N1/Paketbil;Volkswagen;TRANSPORTER;1968;WV1ZZZ7HZDH037687;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;18.3.2026;18.3.2027;Ja;198;;;;Dieselolja;Privat;18.1.2024;LähiTapiola;22.1.2024;25.10.2012;25.10.2012;;Nej;
"=""KMM-124""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX047942;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;23.12.2024;23.12.2025;Ja;152;;;;Dieselolja;Privat;3.6.2025;LähiTapiola;16.6.2025;18.12.2013;18.12.2013;Euro 5;Nej;
"=""JJC-376""";registrerad/registrerat;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX048738;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;7.7.2025;7.7.2026;Ja;152;;;;Dieselolja;Privat;2.6.2025;LähiTapiola;16.6.2025;28.12.2013;28.12.2013;Euro 5;Nej;
"=""GKY-172""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX050210;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;1.12.2023;30.12.2024;Ja;152;;;;Dieselolja;Privat;7.6.2024;;;30.12.2013;30.12.2013;;Nej;
"=""YVX-655""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX004044;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;27.9.2023;27.9.2024;Ja;152;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;21.8.2013;21.8.2013;Euro 5;Nej;
"=""XVK-319""";avställd/avställt;N1/Paketbil;Volkswagen, VW;TRANSPORTER;1968;WV1ZZZ7HZEH006182;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;15.7.2024;15.7.2025;Ja;198;;;;Dieselolja;Privat;14.9.2022;LähiTapiola;14.9.2022;11.7.2013;11.7.2013;Euro 5;Nej;
"=""XVK-334""";avställd/avställt;N1/Paketbil;Volkswagen, VW;TRANSPORTER;1968;WV1ZZZ7HZEH006443;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;20.9.2024;22.9.2025;Ja;198;;;;Dieselolja;Privat;17.4.2024;LähiTapiola;17.4.2024;9.7.2013;9.7.2013;Euro 5;Nej;
"=""XVM-392""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX009595;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;23.2.2024;24.2.2025;Ja;152;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;21.8.2013;21.8.2013;Euro 5;Nej;
"=""KMO-574""";registrerad/registrerat;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZFX019851;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Periodisk besiktning har inte utförts/godkänts;;14.8.2024;14.8.2025;Ja;152;;;;Dieselolja;Privat;3.6.2025;LähiTapiola;16.6.2025;12.8.2014;12.8.2014;Euro 5;Nej;
"=""USF-166""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZFX023390;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;14.5.2025;20.5.2026;Ja;152;;;;Dieselolja;Privat;4.12.2025;;;12.8.2014;12.8.2014;Euro 5;Nej;
"=""USF-169""";registrerad/registrerat;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZFX023589;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;15.1.2026;15.1.2027;Ja;152;;;;Dieselolja;Privat;3.6.2025;LähiTapiola;16.6.2025;12.8.2014;12.8.2014;Euro 5;Nej;
"=""VXP-688""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZFX062507;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;2.3.2023;17.12.2024;Ja;152;;;;Dieselolja;Privat;18.7.2023;;;17.12.2014;17.12.2014;Euro 5;Nej;
"=""YKU-566""";registrerad/registrerat;M1/Personbil;Volkswagen, VW;ID.4 PRO 150 KW;;WVGZZZE2ZMP001312;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;;;15.8.2025;17.8.2026;Ja;;;;;Elektricitet;Tillståndspliktig;15.8.2022;LähiTapiola;15.8.2022;15.8.2022;28.12.2020;;Nej;
"=""JMR-900""";registrerad/registrerat;M1/Personbil;Volkswagen, VW;CADDY;1968;WV2ZZZSK3PX022321;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;Befrielse från bilskatt;;18.3.2026;18.3.2027;Ja;122;;145;;Dieselolja;Tillståndspliktig;20.3.2025;LähiTapiola;20.3.2025;9.1.2023;9.1.2023;Euro 6;Nej;
"=""JOC-393""";registrerad/registrerat;M1/Personbil;Volkswagen, VW;CADDY;1968;WV2ZZZSKXSX100814;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;Befrielse från bilskatt;;4.11.2025;4.11.2026;Ja;;;154;;Dieselolja;Tillståndspliktig;4.11.2025;LähiTapiola;4.11.2025;4.11.2025;4.11.2025;Euro 6;Nej;
